FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
946728,1953.43,697872,81696,459.738,89210.3,29738.4,16289.1,14631.3,9.00508
753426,1632.34,686128,19889.4,140.378,46727.9,41791.6,4660.9,6766.16,9.00686
1.30E+06,2447.92,1.15E+06,33251.8,88900.9,29434.3,28759.4,1222.98,8529.9,9.05488
630247,1673.48,535825,22733.3,-115.17,39706.2,20034.7,3910.13,3446.78,9.08589
1.81E+06,2247.87,1.21E+06,87886.4,1089.55,137556,36291.8,10575,13498,9.09523
735356,1543.22,761951,30489,329289,21249.8,6425.05,844.523,3003.81,9.10131
826535,2105.32,774375,58406.2,251.593,92752,37790.3,29525.5,10395.2,9.10263
701754,1508.36,613846,35289.4,-157.076,64031.5,25391.2,22657.3,1886.48,9.12799
1.01E+06,2049.27,1.16E+06,22016.6,27969.3,27584.9,9868.68,2532.15,5786.78,9.12903
735612,2167.5,613714,45473.3,370.308,77661.8,30381,8549.48,4744.33,9.14756
692965,1999.58,617781,23966.1,-603.662,52482.2,22463.8,2897.43,3857.78,9.14976
756410,1506.28,437932,30696,-233.3,43529.3,23107.4,10565.4,4133.28,9.15754
600018,1607.61,447997,26543.4,-29.0783,42765.6,34199.4,3115.38,5699.34,9.15756
588663,1616.68,502365,52595.6,2083.56,44174.8,33390.1,9298.61,8689.64,9.1643
833899,1960.31,859732,32664.6,2659.77,58570.3,48673.2,13896.9,3151.85,9.16896
1.53E+06,2243.95,1.05E+06,51527.8,133.892,86884,27192.5,4900.47,10707,9.17198
755090,1484.07,418726,17783.2,431.656,37986.9,18243.8,1951.55,4034.02,9.17834
773575,2011.12,584047,35295.4,2506.45,33662.6,23153.3,7283.24,7616.17,9.17922
628565,1663.18,365871,47741.2,605.456,52367.2,19666.4,10818.8,8519.53,9.18076
581123,1580.68,464383,29783.7,466.401,48748.3,23373.8,5044.08,3773.75,9.18172
888469,1618.57,463197,38166.1,755.541,71257.1,44509.7,5176.32,13708.9,9.1866
901191,1897.02,660164,34525.9,568.183,61223.9,24082.4,11038.1,6437.3,9.18818
671541,1585.92,535798,11687,619.132,39739.2,24655.8,2144.11,2345,9.18962
950164,1497.87,611371,10625.6,-1166.49,19704.6,1492.53,-780.013,612.671,9.19206
707011,1572.44,582126,27318.9,19972.7,19868.6,7292.37,4842.07,4992.89,9.19218
560548,1575.78,427955,44518.7,-19.1333,27930,9116.15,1424.78,1129.44,9.19312
818617,1587.23,659063,34186.4,3715.68,27143.7,12525,3115.79,2214.27,9.19336
997399,1974.77,1.09E+06,15255.7,4158.45,39031.9,25997.6,7023.26,2662.81,9.19636
940416,1966.88,787691,43061.4,269.423,81619.5,24580.5,23131.6,12450.1,9.19678
1.01E+06,1977.52,784514,39814.2,90039.5,31227.3,26418.3,13850.8,4356.25,9.2021
